Server ID,Energy Consumption (kWh),Cooling Efficiency (%),Power Usage Effectiveness (PUE),Timestamp,Server Location,Server Type,Energy Source,Cooling System Type,Energy Cost (€),Carbon Emissions (kg CO2),Maintenance Status,Energy Savings Target (%),Peak Energy Usage (kWh),Off-Peak Energy Usage (kWh),Year,Month,Day
Server-0001,406.48,79,1.52,2021-10-18 22:17:16,Stockholm,Network Node,Wind,Peltier Cooling,128.62,128.05,Active,24,1001.0,311.0,2021,10,18
Server-0002,611.73,51,1.38,2024-01-15 22:44:23,Vienna,Network Node,Battery Backup,Compressor Cooling,119.57,298.75,Under Repair,16,1058.0,192.0,2024,1,15
Server-0003,310.38,68,1.92,2024-12-02 10:45:16,Dublin,Network Node,Battery Backup,Phase Change Cooling,42.27,91.96,Needs Maintenance,23,1048.0,195.0,2024,12,2
Server-0004,335.98,93,1.04,2024-09-03 14:20:20,Stockholm,Backup Server,Wind,Liquid Cooling,126.77,305.74,Under Repair,15,1044.0,185.0,2024,9,3
Server-0005,629.37,74,1.86,2024-03-21 22:40:38,Germany,Mainframe,Hydro,Compressor Cooling,187.56,91.68,Needs Maintenance,24,974.0,137.0,2024,3,21
Server-0006,551.08,63,1.23,2021-02-18 05:22:01,Vienna,Cloud,Wind,Fan Cooling,58.22,400.49,Active,15,1036.0,266.0,2021,2,18
Server-0007,434.21,55,1.85,2024-03-20 17:54:26,London,Network Node,Grid,Thermoelectric Cooling,169.9,460.77,Active,16,1060.0,205.0,2024,3,20
Server-0008,553.25,61,1.14,2025-02-05 21:19:18,Paris,Mainframe,Battery Backup,Compressor Cooling,166.15,464.31,Active,19,974.0,231.0,2025,2,5
Server-0009,356.89,69,1.58,2022-12-17 03:26:02,Vienna,Enterprise,Grid,Liquid Cooling,63.67,275.51,Under Repair,31,1007.0,281.0,2022,12,17
Server-0010,516.54,72,1.89,2022-11-20 06:51:32,London,Mainframe,Hydro,Evaporative Cooling,116.95,102.59,Needs Maintenance,27,1078.0,193.0,2022,11,20
Server-0011,519.28,79,1.47,2025-04-03 14:30:11,Amsterdam,Enterprise,Wind,Phase Change Cooling,157.76,312.77,Inactive,20,1020.0,195.0,2025,4,3
Server-0012,443.93,79,1.75,2022-06-07 04:56:23,London,Backup Server,Grid,Heat Pipe Cooling,174.66,163.22,Retired,24,996.0,207.0,2022,6,7
Server-0013,374.71,87,1.8,2022-10-19 17:02:31,London,Mainframe,Hydro,Peltier Cooling,99.88,74.97,Needs Maintenance,16,1073.0,136.0,2022,10,19
Server-0014,510.54,79,1.74,2023-07-10 23:09:06,Lisbon,Backup Server,Solar,Thermoelectric Cooling,96.87,124.89,Under Repair,19,976.0,109.0,2023,7,10
Server-0015,491.75,90,1.93,2022-10-20 07:15:49,Dublin,Network Node,Wind,Evaporative Cooling,166.26,276.58,Active,33,915.0,125.0,2022,10,20
Server-0016,430.13,79,1.45,2024-05-30 03:27:13,Vienna,Mainframe,Grid,Phase Change Cooling,128.68,353.46,Under Repair,16,961.0,262.0,2024,5,30
Server-0017,344.93,85,1.17,2024-09-10 23:38:15,Dublin,Mainframe,Grid,Compressor Cooling,156.86,453.06,Inactive,15,1057.0,184.0,2024,9,10
Server-0018,501.87,83,1.05,2022-09-18 09:29:31,Vienna,Network Node,Wind,Fan Cooling,107.02,338.65,Inactive,22,1026.0,239.0,2022,9,18
Server-0019,430.5,65,1.25,2020-02-22 07:56:13,Paris,Enterprise,Solar,Compressor Cooling,148.73,96.75,Active,29,1003.0,187.0,2020,2,22
Server-0020,344.8,73,1.14,2023-05-19 19:12:53,Rome,Network Node,Wind,Liquid Cooling,212.11,459.11,Out of Service,20,1053.0,121.0,2023,5,19
Server-0021,506.53,63,1.56,2020-02-08 17:06:09,Dublin,Cloud,Wind,Liquid Cooling,85.14,389.62,Needs Maintenance,18,1008.0,243.0,2020,2,8
Server-0022,741.25,75,1.18,2023-05-15 16:34:45,Dublin,Mainframe,Geothermal,Fan Cooling,93.73,143.09,Active,26,989.0,156.0,2023,5,15
Server-0023,444.98,57,1.04,2020-12-17 06:26:04,Paris,Cloud,Solar,Phase Change Cooling,59.48,134.92,Needs Maintenance,30,1042.0,229.0,2020,12,17
Server-0024,724.67,63,1.04,2023-02-20 10:32:56,Vienna,Network Node,Wind,Evaporative Cooling,168.32,238.34,Active,16,981.0,246.0,2023,2,20
Server-0025,817.15,80,1.83,2023-05-16 14:19:22,Paris,Backup Server,Grid,Peltier Cooling,42.98,173.94,Needs Maintenance,22,1025.0,198.0,2023,5,16
Server-0026,356.99,51,1.59,2023-05-20 21:18:06,Stockholm,Network Node,Wind,Peltier Cooling,109.69,352.62,Under Repair,20,960.0,224.0,2023,5,20
Server-0027,501.36,53,1.36,2021-12-21 11:51:05,London,Edge,Wind,Liquid Cooling,142.76,469.78,Inactive,17,947.0,129.0,2021,12,21
Server-0028,815.56,50,1.89,2024-12-07 06:31:23,Paris,Cloud,Solar,Liquid Cooling,76.1,111.87,Inactive,15,957.0,346.0,2024,12,7
Server-0029,481.84,69,1.07,2022-07-12 03:51:41,Vienna,Edge,Solar,Fan Cooling,114.74,438.64,Retired,22,999.0,222.0,2022,7,12
Server-0030,505.52,63,1.98,2023-10-29 04:17:01,Amsterdam,Cloud,Wind,Evaporative Cooling,154.65,162.91,Out of Service,26,968.0,239.0,2023,10,29
Server-0031,249.5,89,1.62,2024-10-14 15:33:18,Paris,Backup Server,Battery Backup,Thermoelectric Cooling,91.03,158.09,Needs Maintenance,21,969.0,247.0,2024,10,14
Server-0032,420.25,74,1.18,2021-08-28 04:53:22,Berlin,Edge,Solar,Thermoelectric Cooling,41.23,128.95,Inactive,31,992.0,193.0,2021,8,28
Server-0033,583.34,74,1.68,2021-01-05 22:30:03,Paris,Edge,Grid,Compressor Cooling,52.7,336.8,Under Repair,27,996.0,204.0,2021,1,5
Server-0034,864.39,52,1.76,2021-12-08 14:20:38,Dublin,Cloud,Geothermal,Heat Pipe Cooling,108.53,216.56,Needs Maintenance,32,922.0,254.0,2021,12,8
Server-0035,470.6,54,1.43,2024-01-27 01:28:31,Stockholm,Network Node,Wind,Fan Cooling,118.37,235.75,Inactive,30,874.0,182.0,2024,1,27
Server-0036,250.61,87,1.86,2023-12-25 15:59:52,Lisbon,Enterprise,Solar,Evaporative Cooling,47.05,166.87,Active,22,1020.0,220.0,2023,12,25
Server-0037,289.21,75,1.15,2021-10-08 05:42:48,Paris,Network Node,Geothermal,Heat Pipe Cooling,99.96,282.33,Active,26,1007.0,223.0,2021,10,8
Server-0038,494.63,89,1.28,2020-05-06 21:10:14,Rome,Enterprise,Solar,Peltier Cooling,75.45,465.47,Under Repair,20,931.0,163.0,2020,5,6
Server-0039,676.58,87,1.09,2021-10-21 10:42:41,Berlin,Cloud,Biomass,Fan Cooling,68.69,159.29,Active,16,1022.0,222.0,2021,10,21
Server-0040,595.6,87,1.21,2021-07-20 00:28:03,Amsterdam,Mainframe,Biomass,Compressor Cooling,92.44,142.07,Needs Maintenance,21,1022.0,115.0,2021,7,20
Server-0041,569.04,53,1.24,2020-08-21 18:24:40,Paris,Network Node,Wind,Compressor Cooling,143.57,139.67,Under Repair,18,985.0,246.0,2020,8,21
Server-0042,696.37,56,1.92,2023-10-30 10:49:31,London,Edge,Wind,Evaporative Cooling,70.69,243.88,Out of Service,34,1098.0,278.0,2023,10,30
Server-0043,391.97,79,1.08,2020-02-09 04:22:37,London,Network Node,Wind,Evaporative Cooling,90.57,74.4,Active,30,1063.0,245.0,2020,2,9
Server-0044,502.86,79,1.43,2021-06-01 20:22:33,Berlin,Cloud,Wind,Compressor Cooling,57.37,100.3,Needs Maintenance,31,980.0,275.0,2021,6,1
Server-0045,421.94,68,1.53,2022-03-04 16:29:13,Dublin,Mainframe,Biomass,Compressor Cooling,102.49,186.98,Under Repair,17,981.0,162.0,2022,3,4
Server-0046,459.28,88,1.9,2024-10-14 10:58:12,Germany,Mainframe,Biomass,Fan Cooling,72.17,529.66,Needs Maintenance,17,927.0,189.0,2024,10,14
Server-0047,349.06,84,2.0,2020-05-11 21:32:46,Dublin,Network Node,Battery Backup,Phase Change Cooling,164.46,379.18,Active,28,1061.0,206.0,2020,5,11
Server-0048,448.4,89,1.75,2022-10-25 18:59:35,Berlin,Network Node,Solar,Peltier Cooling,163.75,173.54,Needs Maintenance,28,1012.0,206.0,2022,10,25
