Server ID,Uptime (%),Workload (CPU %),Temperature (°C),Timestamp,Server Location,Server Type,Memory Usage (%),Disk Usage (%),Error Rate (%),Carbon Emissions (kg CO2),Maintenance Status,Power State,Fan Speed (RPM),Latency (ms),Year,Month,Day
Server-0001,95.9,13,37,2020-10-24 15:53:58,Cork,Enterprise,77,80,0,234.8,Active,Standby,3231,9,2020,10,24
Server-0002,99.1,15,27,2023-07-14 15:19:17,Carlow,Cloud,68,55,0,101.7,Needs Maintenance,Standby,4466,41,2023,7,14
Server-0003,97.6,90,30,2022-01-23 09:03:21,Donegal,Backup Server,55,65,1,192.02,Out of Service,On,2822,14,2022,1,23
Server-0004,97.9,27,34,2023-02-21 08:51:11,Galway,Backup Server,75,92,0,163.3,Active,On,4505,62,2023,2,21
Server-0005,98.7,77,39,2022-05-12 17:53:45,Carlow,Enterprise,89,62,4,111.88,Active,On,4315,91,2022,5,12
Server-0006,99.7,35,30,2022-06-07 19:14:53,Donegal,Edge,86,82,0,163.17,Needs Maintenance,On,3440,9,2022,6,7
Server-0007,95.5,9,32,2025-04-08 00:40:43,Carlow,Enterprise,68,50,0,84.04,Active,On,2548,91,2025,4,8
Server-0008,99.2,46,28,2021-11-23 00:43:32,Kilkenny,Enterprise,66,58,3,137.49,Needs Maintenance,On,4903,74,2021,11,23
Server-0009,97.4,53,29,2024-05-27 02:36:38,Cork,Enterprise,78,71,1,99.93,Active,Standby,2833,68,2024,5,27
Server-0010,98.2,8,43,2022-08-18 01:49:14,Mayo,Backup Server,70,83,1,133.2,Needs Maintenance,On,3877,66,2022,8,18
Server-0011,99.3,91,40,2024-07-25 10:20:14,Donegal,Backup Server,54,83,1,153.44,Needs Maintenance,On,3270,40,2024,7,25
Server-0012,96.6,13,35,2021-04-04 01:25:35,Cork,Network Node,66,50,1,224.74,Needs Maintenance,On,3663,24,2021,4,4
Server-0013,99.3,63,31,2021-09-22 15:12:01,Donegal,Mainframe,87,86,1,152.66,Active,On,4513,58,2021,9,22
Server-0014,98.2,82,28,2023-02-09 19:27:51,Carlow,Cloud,90,90,3,100.22,Retired,On,4835,74,2023,2,9
Server-0015,96.4,56,31,2021-02-04 00:41:11,Limerick,Backup Server,89,72,0,150.82,Active,On,2488,52,2021,2,4
Server-0016,99.6,76,36,2022-09-26 03:03:26,Mayo,Enterprise,56,67,2,46.31,Active,On,2977,56,2022,9,26
Server-0017,95.3,55,27,2022-03-25 23:30:23,Cork,Network Node,76,61,0,192.75,Active,On,3948,54,2022,3,25
Server-0018,98.0,50,37,2020-06-04 20:55:28,Kilkenny,Enterprise,80,54,1,109.45,Out of Service,On,4035,22,2020,6,4
Server-0019,95.1,54,30,2022-05-05 07:19:48,Limerick,Enterprise,83,69,4,245.0,Needs Maintenance,On,2496,83,2022,5,5
Server-0020,95.4,38,36,2024-01-18 13:03:39,Mayo,Mainframe,75,68,3,195.71,Retired,On,3304,5,2024,1,18
Server-0021,95.5,51,28,2022-06-30 02:17:28,Dublin,Network Node,55,51,2,155.4,Needs Maintenance,Standby,2458,64,2022,6,30
Server-0022,99.5,62,31,2021-01-10 11:39:12,Kilkenny,Backup Server,80,53,1,135.12,Retired,On,4531,29,2021,1,10
Server-0023,97.8,60,31,2022-03-21 22:27:42,Limerick,Mainframe,61,76,2,128.5,Retired,Off,3031,96,2022,3,21
Server-0024,96.3,66,36,2023-05-15 20:04:52,Dublin,Network Node,64,57,3,131.8,Active,On,4651,57,2023,5,15
Server-0025,97.0,70,38,2021-07-22 12:25:54,Mayo,Cloud,50,83,1,149.65,Active,Off,2958,61,2021,7,22
Server-0026,99.2,27,34,2025-03-05 00:53:16,Kilkenny,Cloud,75,87,3,129.77,Active,Standby,4016,16,2025,3,5
Server-0027,97.9,13,31,2021-09-27 09:11:54,Dublin,Mainframe,86,56,3,177.79,Retired,On,4108,67,2021,9,27
Server-0028,95.2,36,29,2023-09-26 13:46:08,Dublin,Cloud,55,78,0,223.46,Needs Maintenance,On,3895,97,2023,9,26
Server-0029,99.4,51,29,2022-10-02 15:19:29,Donegal,Enterprise,73,89,1,155.16,Out of Service,On,4890,40,2022,10,2
Server-0030,97.7,21,43,2020-07-06 12:13:28,Kilkenny,Cloud,85,93,1,205.28,Needs Maintenance,On,2723,75,2020,7,6
Server-0031,96.0,94,36,2021-05-15 10:29:12,Cork,Cloud,93,67,4,83.83,Retired,On,3245,40,2021,5,15
Server-0032,98.6,0,33,2023-03-28 01:46:19,Donegal,Cloud,68,91,0,167.83,Under Repair,On,3179,73,2023,3,28
Server-0033,97.7,75,25,2020-12-25 19:55:29,Cork,Enterprise,67,90,1,154.29,Active,On,2883,92,2020,12,25
Server-0034,95.9,87,44,2021-01-28 23:25:07,Kilkenny,Network Node,87,60,1,80.26,Out of Service,On,4783,93,2021,1,28
Server-0035,98.3,93,35,2022-07-21 02:53:34,Dublin,Cloud,65,57,2,137.24,Needs Maintenance,On,4103,29,2022,7,21
Server-0036,98.2,53,35,2024-03-01 02:25:16,Galway,Cloud,66,51,4,192.78,Out of Service,On,4511,37,2024,3,1
Server-0037,99.8,45,43,2024-07-18 04:49:29,Carlow,Edge,60,58,3,15.47,Out of Service,On,2644,36,2024,7,18
Server-0038,96.3,90,39,2024-02-28 07:59:51,Dublin,Backup Server,53,88,4,140.01,Needs Maintenance,On,3981,80,2024,2,28
Server-0039,97.7,79,28,2021-12-09 16:34:40,Dublin,Backup Server,65,90,0,127.35,Active,On,3667,34,2021,12,9
Server-0040,96.6,84,42,2024-09-02 04:09:28,Galway,Edge,58,55,4,163.46,Out of Service,On,3946,37,2024,9,2
Server-0041,96.5,67,31,2023-01-31 00:30:11,Donegal,Backup Server,72,78,4,195.31,Needs Maintenance,Off,4947,49,2023,1,31
Server-0042,97.5,65,40,2022-02-20 00:01:17,Donegal,Network Node,59,63,4,184.95,Inactive,On,2063,29,2022,2,20
Server-0043,98.6,84,30,2020-11-10 12:50:03,Cork,Cloud,75,89,2,198.59,Retired,On,3488,87,2020,11,10
Server-0044,98.0,6,37,2021-12-29 17:37:11,Kilkenny,Cloud,94,64,0,209.04,Active,On,3280,53,2021,12,29
Server-0045,95.6,70,44,2022-11-30 05:36:37,Carlow,Network Node,85,54,3,131.83,Active,On,3096,46,2022,11,30
Server-0046,99.6,65,38,2020-02-06 05:55:21,Cork,Network Node,88,60,0,28.63,Needs Maintenance,On,2030,87,2020,2,6
Server-0047,98.5,75,26,2024-01-21 01:12:24,Dublin,Edge,52,86,3,183.62,Needs Maintenance,Off,4685,42,2024,1,21
Server-0048,97.9,0,34,2021-03-12 17:13:33,Donegal,Backup Server,69,72,2,99.6,Under Repair,On,4955,36,2021,3,12
Server-0049,95.7,2,40,2024-04-07 16:20:18,Dublin,Backup Server,66,67,0,164.12,Out of Service,On,2135,77,2024,4,7
