Vendor ID,Vendor Name,Technology Type,Cost (€),Energy Savings (%),Vendor Location,Contract Duration (Months),Technology ROI (%),Installation Time (Days),Maintenance Cost (€/Year),Vendor Rating (1-5),Technology Lifespan (Years),Carbon Reduction (kg CO2/Year),Vendor Contact,Technology Status
Vendor-0001,PowerSolutions,Renewable Energy,13291.2,15,Vienna,12,21,3,4207.04,4,17,5014,2r_z59ynq6@powersolutions.com,On Hold
Vendor-0002,CoolIT,Monitoring,8706.7,21,Vienna,36,19,12,4537.95,4,12,1104,bgx1_diuzi@coolit.com,In Development
Vendor-0003,GreenCompute,Monitoring,9045.4,23,Rome,60,10,3,900.95,4,13,8432,26zrs4dpyy@greencompute.com,Cancelled
Vendor-0004,TechOptima,Software,6810.9,18,Amsterdam,48,17,1,4138.1,3,4,9280,64fyjn921r@techoptima.com,On Hold
Vendor-0005,PowerSolutions,Renewable Energy,18152.8,20,Berlin,48,8,4,2922.41,2,13,5335,acl9jsc2g8@powersolutions.com,Active
Vendor-0006,GreenCompute,Hardware,22572.2,10,Dublin,12,19,7,3257.78,4,9,7716,yt60-aex46@greencompute.com,Active
Vendor-0007,TechOptima,Hardware,12619.4,13,Berlin,60,6,8,2236.16,4,6,4524,rbq-ensoe4@techoptima.com,Active
Vendor-0008,PowerSolutions,Renewable Energy,15616.7,29,Dublin,24,9,3,827.16,4,10,1125,w713hs8k7x@powersolutions.com,Cancelled
Vendor-0009,GreenCompute,Software,10178.0,11,Vienna,24,22,4,4755.39,5,4,7374,kglnt57x-2@greencompute.com,Inactive
Vendor-0010,CoolIT,Monitoring,20530.5,17,Lisbon,24,14,10,4713.97,4,10,10240,yuz93jrxsw@coolit.com,In Development
Vendor-0011,TechOptima,Hardware,17989.4,14,Amsterdam,36,8,9,1382.56,4,16,5222,dipse_uzyw@techoptima.com,Cancelled
Vendor-0012,EcoInfra,Renewable Energy,24964.6,11,Berlin,48,20,7,2238.26,4,12,4120,w--s769fe4@ecoinfra.com,In Development
Vendor-0013,PowerSolutions,Renewable Energy,22024.3,16,Dublin,24,9,8,3166.69,3,6,10303,xd8zz2vr-l@powersolutions.com,In Development
Vendor-0014,EcoInfra,Hardware,7815.4,28,Berlin,48,19,6,3028.77,4,5,7497,h1cws_pmz0@ecoinfra.com,Cancelled
Vendor-0015,TechOptima,Renewable Energy,21882.1,18,Lisbon,24,20,10,1054.53,3,4,7333,tis0slt33h@techoptima.com,In Development
Vendor-0016,CoolIT,Monitoring,6077.3,19,Paris,24,8,11,549.6,4,17,8823,iflckgn6yz@coolit.com,Cancelled
Vendor-0017,TechOptima,Monitoring,7987.0,23,Dublin,48,8,11,4910.53,3,3,6894,7_qgphn6dr@techoptima.com,Active
Vendor-0018,CoolIT,Hardware,12697.0,12,London,24,13,12,4926.11,4,7,4651,wh_ld57kt9@coolit.com,Active
Vendor-0019,TechOptima,Renewable Energy,8793.1,21,London,12,6,11,2982.76,3,19,1819,sb1sliavmg@techoptima.com,Pending
Vendor-0020,GreenCompute,Renewable Energy,10703.6,17,Vienna,12,18,3,2485.9,5,12,6619,o3ytcv29-p@greencompute.com,On Hold
Vendor-0021,EcoInfra,Monitoring,19202.6,16,Lisbon,48,5,8,4813.75,4,7,4704,6nekgqk9xt@ecoinfra.com,On Hold
Vendor-0022,GreenCompute,Renewable Energy,16217.7,29,Amsterdam,12,10,5,2618.16,4,10,7779,nd-ghhfp5x@greencompute.com,In Development
Vendor-0023,TechOptima,Renewable Energy,12979.4,10,Vienna,60,9,3,2625.44,5,11,10527,uzuvqnkh2e@techoptima.com,Active
Vendor-0024,GreenCompute,Monitoring,17920.3,11,Berlin,48,13,3,1053.31,3,19,3784,sabqt6_4kn@greencompute.com,On Hold
Vendor-0025,TechOptima,Hardware,5004.0,21,London,36,11,3,2143.41,3,19,5677,3k0dpve2l-@techoptima.com,Active
Vendor-0026,TechOptima,Software,22579.8,20,Berlin,24,24,5,3415.55,4,18,4485,iga06ji2me@techoptima.com,In Development
Vendor-0027,TechOptima,Hardware,12887.2,15,Lisbon,24,18,11,3786.87,4,10,9347,48hd_nk7ik@techoptima.com,In Development
Vendor-0028,CoolIT,Monitoring,14780.8,28,Berlin,48,17,11,4980.58,4,3,5554,zbcqe8o8nr@coolit.com,In Development
Vendor-0029,CoolIT,Hardware,7343.3,19,Vienna,24,21,11,4057.04,5,17,9282,rly5tylkc1@coolit.com,Inactive
Vendor-0030,PowerSolutions,Renewable Energy,20145.5,12,Rome,48,20,7,3564.09,5,5,6761,uz2bueazl3@powersolutions.com,On Hold
Vendor-0031,CoolIT,Monitoring,24900.5,14,Lisbon,12,15,12,1319.55,4,14,5773,zxfwbvdave@coolit.com,In Development
Vendor-0032,EcoInfra,Monitoring,20326.6,20,Stockholm,24,7,3,2118.87,3,6,5573,u22b4782se@ecoinfra.com,In Development
Vendor-0033,TechOptima,Software,7790.8,15,Vienna,12,14,6,3766.99,3,17,8867,8mv-lo2wa-@techoptima.com,Cancelled
Vendor-0034,TechOptima,Monitoring,23599.6,13,Berlin,24,18,10,2642.36,5,5,5273,a_1kpw0l6k@techoptima.com,Pending
Vendor-0035,CoolIT,Renewable Energy,16689.5,15,Lisbon,60,9,7,3930.26,2,13,1721,3_p1262eyv@coolit.com,Cancelled
Vendor-0036,CoolIT,Hardware,22320.9,24,Berlin,36,24,5,3478.38,4,3,6636,6v88gye721@coolit.com,Active
Vendor-0037,EcoInfra,Hardware,13442.4,21,Paris,48,21,6,2598.61,3,6,2955,yner8lr3_y@ecoinfra.com,Cancelled
Vendor-0038,TechOptima,Hardware,10570.1,21,Paris,48,13,9,2007.57,4,8,8062,x-wgoqt-37@techoptima.com,Cancelled
Vendor-0039,GreenCompute,Software,5427.0,12,Paris,48,14,9,1221.12,4,19,7888,ze4schpq_q@greencompute.com,Cancelled
Vendor-0040,CoolIT,Monitoring,23971.7,28,Berlin,12,13,12,2484.35,5,19,7090,d37hy7imlj@coolit.com,Pending
Vendor-0041,GreenCompute,Monitoring,8075.7,18,Dublin,24,10,2,3533.03,4,7,1536,-4unkybg42@greencompute.com,Active
Vendor-0042,EcoInfra,Renewable Energy,20640.7,16,Dublin,24,24,13,826.47,3,4,4085,0_96qhjivr@ecoinfra.com,Active
