Vendor ID,Vendor Name,Technology Type,Cost (€),Energy Savings (%),Vendor Location,Contract Duration (Months),Technology ROI (%),Installation Time (Days),Maintenance Cost (€/Year),Vendor Rating (1-5),Technology Lifespan (Years),Carbon Reduction (kg CO2/Year),Vendor Contact,Technology Status
Vendor-0001,GreenCompute,Monitoring,9842.2,14,Warsaw,12,16,4,2624.92,4,5,10416,hugbhi2fhg@greencompute.com,In Development
Vendor-0002,CoolIT,Monitoring,19202.5,15,Cork,36,11,8,1375.05,3,10,3994,77x6m3m6zp@coolit.com,In Development
Vendor-0003,PowerSolutions,Hardware,6744.8,29,Lyon,36,17,8,2960.65,2,11,2284,oq_5m7qo27@powersolutions.com,Active
Vendor-0004,EcoInfra,Software,16879.9,18,Graz,24,15,10,3194.59,5,7,3485,i71mu_l9_n@ecoinfra.com,On Hold
Vendor-0005,PowerSolutions,Renewable Energy,16881.4,16,Munich,60,6,10,1120.06,3,10,8944,t3fk4j0x4t@powersolutions.com,In Development
Vendor-0006,CoolIT,Hardware,9076.7,20,Graz,24,10,2,3690.83,4,13,8643,0hsuah8y8l@coolit.com,Pending
Vendor-0007,EcoInfra,Monitoring,9109.1,15,Lyon,36,18,11,4871.38,5,18,5776,ftt8a5-yf8@ecoinfra.com,Active
Vendor-0008,EcoInfra,Hardware,21470.7,20,Munich,48,6,7,4460.65,4,5,5770,j-hhe_-v15@ecoinfra.com,Cancelled
Vendor-0009,GreenCompute,Renewable Energy,19668.0,26,Graz,48,16,4,4186.57,4,12,8786,04lag8tyvh@greencompute.com,Active
Vendor-0010,PowerSolutions,Hardware,14461.8,22,Porto,24,15,4,4105.99,5,17,4054,i0sn303r_z@powersolutions.com,Active
Vendor-0011,TechOptima,Software,13107.5,17,Graz,24,21,7,2818.75,3,4,6917,_-8b1bj-fz@techoptima.com,Active
Vendor-0012,TechOptima,Renewable Energy,20859.4,28,Graz,12,20,8,4477.0,2,11,1656,zd4ir6my09@techoptima.com,In Development
Vendor-0013,TechOptima,Software,21985.6,23,Milan,12,23,2,3707.59,4,17,4885,0j7hhh6_s6@techoptima.com,Pending
Vendor-0014,GreenCompute,Renewable Energy,18904.8,20,Munich,12,15,7,1478.23,4,12,9566,a1fuoszrk-@greencompute.com,Active
Vendor-0015,TechOptima,Monitoring,7737.1,12,Graz,12,13,3,1189.0,2,4,1302,0lsbagpnh6@techoptima.com,In Development
Vendor-0016,TechOptima,Monitoring,12013.3,18,Porto,48,10,6,2171.1,1,5,8178,uy5cgq2e17@techoptima.com,Inactive
